id,lat,lon,ph,sand,clay,silt,cec,humus,stickstoff
A20964_4202,52.41,10.505,5.0,58.3,16.7,25.0,28.0,67.1,6.17
A21036_4056,52.59,10.14,6.0,67.9,18.1,13.9,25.7,55.9,5.78
A20948_4327,52.37,10.8175,5.0,50.1,19.2,30.7,31.3,82.5,6.24
A20952_4325,52.38,10.8125,5.3,45.4,18.6,36.0,31.0,67.4,6.09
A20915_4133,52.2875,10.3325,5.1,34.1,19.5,46.4,31.8,72.1,6.39
A20931_4286,52.3275,10.715,5.1,54.8,15.4,29.8,29.2,76.1,6.95
A20972_4129,52.43,10.3225,5.4,50.5,17.9,31.7,28.9,72.6,5.54
A20958_4119,52.395,10.2975,5.5,53.7,16.3,30.0,26.9,77.1,6.11
A20887_4305,52.2175,10.7625,5.1,24.7,30.4,44.9,28.1,69.0,5.85
A21014_4045,52.535,10.1125,5.5,67.1,13.8,19.2,26.0,55.0,5.57
A20855_4058,52.1375,10.145,5.2,22.2,24.8,53.0,29.3,78.7,5.69
A21014_4044,52.535,10.11,5.5,67.1,13.8,19.2,26.0,55.0,5.57
A20852_4063,52.13,10.1575,5.3,20.1,27.5,52.4,30.4,70.1,5.57
A20851_4063,52.1275,10.1575,5.2,19.5,27.6,52.9,29.9,82.7,5.76
A20937_4197,52.3425,10.4925,5.3,47.5,24.8,27.7,28.2,74.7,7.66
A21132_4066,52.83,10.165,4.9,58.3,15.1,26.6,25.5,85.0,6.25
A20892_4317,52.23,10.7925,4.9,27.6,28.5,43.8,25.7,70.7,5.93
A20941_4203,52.3525,10.5075,5.4,46.9,20.8,32.3,28.1,75.8,7.41
A20841_4131,52.1025,10.3275,5.3,21.9,31.2,46.9,27.3,78.7,5.54
A20918_4224,52.295,10.56,5.9,42.7,23.2,34.1,31.3,55.1,6.9
A21014_4046,52.535,10.115,5.6,67.1,14.1,18.8,25.5,51.6,5.71
A20850_4061,52.125,10.1525,5.1,19.2,29.0,51.8,30.7,75.3,5.43
A20876_4420,52.19,11.05,5.7,34.9,25.2,39.9,29.1,70.9,7.17
A20970_4129,52.425,10.3225,6.0,52.6,15.9,31.5,28.8,50.8,6.38
A21053_4070,52.6325,10.175,5.2,60.3,13.1,26.6,27.9,86.4,5.87
A21047_4047,52.6175,10.1175,5.2,66.1,16.7,17.3,27.3,76.5,6.26
A20934_4284,52.335,10.71,5.0,57.1,17.0,26.0,29.8,69.1,6.63
A21129_4083,52.8225,10.2075,6.1,45.7,19.8,34.5,25.1,51.1,5.25
A20914_4322,52.285,10.805,4.9,50.0,18.6,31.4,30.4,72.3,6.76
A20882_4436,52.205,11.09,5.3,31.4,18.3,50.2,30.5,78.2,6.83
A20935_4287,52.3375,10.7175,5.0,54.4,17.9,27.7,28.6,65.2,6.22
A21109_4183,52.7725,10.4575,5.1,60.7,12.6,26.6,27.0,88.8,6.68
A20880_4437,52.2,11.0925,5.3,26.4,19.8,53.8,30.4,69.1,6.57
A21129_4116,52.8225,10.29,4.7,55.7,19.5,24.8,24.6,102.3,5.07
A21129_4149,52.8225,10.3725,5.0,60.0,17.8,22.2,22.7,101.9,5.21
A21077_4205,52.6925,10.5125,6.1,67.0,11.4,21.6,27.0,60.1,5.58
A20984_4323,52.46,10.8075,5.0,61.2,15.0,23.8,28.9,74.8,7.53
A20986_4323,52.465,10.8075,4.9,60.0,14.2,25.7,28.6,69.2,6.88
A20940_4043,52.35,10.1075,5.3,40.4,21.0,38.6,28.1,66.4,6.23
A21045_4051,52.6125,10.1275,5.3,70.4,11.8,17.8,26.5,72.4,5.73
A21046_4048,52.615,10.12,5.5,66.8,17.4,15.7,27.3,76.2,6.12
A21047_4049,52.6175,10.1225,5.1,70.3,11.9,17.8,27.2,86.7,5.69
A20920_4152,52.3,10.38,5.4,34.1,24.5,41.3,30.4,67.7,6.24
A20966_4150,52.415,10.375,6.0,63.7,11.7,24.6,29.5,55.5,7.35
A20909_4180,52.2725,10.45,6.3,44.9,20.9,34.2,32.0,54.3,7.83
A20919_4146,52.2975,10.365,5.1,35.5,22.5,42.0,29.5,75.1,6.13
A20903_4232,52.2575,10.58,6.0,39.4,25.5,35.2,31.0,60.6,7.15
A20919_4138,52.2975,10.345,5.2,37.8,21.1,41.1,30.8,90.2,5.86
A20905_4240,52.2625,10.6,5.2,43.7,24.4,31.9,31.2,75.6,6.25
A21002_4280,52.505,10.7,4.6,65.3,11.9,22.8,27.2,68.6,6.2
A21099_4137,52.7475,10.3425,4.9,63.6,9.7,26.7,26.5,90.1,4.86
A20919_4142,52.2975,10.355,5.1,35.0,21.0,44.1,29.6,75.7,6.12
A20920_4146,52.3,10.365,5.1,34.8,22.8,42.4,30.0,74.0,6.1
A20876_4297,52.19,10.7425,5.2,22.4,32.0,45.6,26.5,73.2,6.0
A20964_4145,52.41,10.3625,6.1,65.4,11.6,23.0,29.3,62.7,6.82
A20983_4322,52.4575,10.805,5.1,62.0,14.0,24.0,28.6,74.9,7.47
A20919_4136,52.2975,10.34,5.2,36.5,22.0,41.5,31.2,74.6,6.5
A20919_4135,52.2975,10.3375,5.2,36.5,22.0,41.5,31.2,74.6,6.5
A20982_4322,52.455,10.805,5.0,59.6,15.4,25.0,29.1,75.5,7.74
A20889_4173,52.2225,10.4325,6.0,33.9,24.1,42.1,30.9,58.3,5.57
A20919_4147,52.2975,10.3675,5.4,36.6,21.3,42.1,29.7,63.8,6.02
A20834_4139,52.085,10.3475,5.1,22.3,32.5,45.2,28.2,80.9,5.65
A20832_4140,52.08,10.35,5.3,21.3,34.7,44.1,28.2,77.3,5.56
A20884_4305,52.21,10.7625,5.2,25.7,28.7,45.6,30.0,78.5,6.11
A20885_4302,52.2125,10.755,5.3,26.9,28.6,44.5,30.1,87.5,6.08
A20885_4304,52.2125,10.76,5.3,26.0,28.1,45.9,29.5,74.0,5.92
A20884_4304,52.21,10.76,5.3,25.1,28.3,46.6,28.8,78.5,6.41
A20983_4327,52.4575,10.8175,5.0,63.3,14.1,22.7,28.7,74.4,6.92
A20915_4136,52.2875,10.34,5.1,40.5,20.2,39.3,31.5,77.9,6.34
A20983_4328,52.4575,10.82,6.0,67.5,12.4,20.1,29.3,47.4,6.73
A20985_4323,52.4625,10.8075,4.8,59.6,14.9,25.5,28.9,79.5,7.49
A20892_4320,52.23,10.8,4.9,29.9,28.6,41.6,28.1,69.8,6.6
A20982_4325,52.455,10.8125,4.9,63.1,13.9,23.0,28.6,76.0,7.2
A20984_4324,52.46,10.81,4.9,62.1,15.4,22.6,28.4,74.4,7.25
A20986_4322,52.465,10.805,5.1,59.4,13.8,26.8,29.5,70.3,6.9
A20908_4222,52.27,10.555,5.2,34.9,25.9,39.3,30.4,85.6,6.48
A20839_4136,52.0975,10.34,5.5,25.0,32.8,42.3,27.5,58.8,6.49
A20915_4139,52.2875,10.3475,5.1,44.9,18.3,36.8,30.6,74.6,5.9
A21046_4049,52.615,10.1225,5.3,72.8,11.1,16.1,27.3,83.0,6.23
A20921_4144,52.3025,10.36,5.1,36.7,22.5,40.9,30.0,75.3,5.78
A20919_4141,52.2975,10.3525,5.1,35.6,20.9,43.5,30.3,76.6,5.98
A20915_4143,52.2875,10.3575,5.3,32.1,20.3,47.6,29.5,74.8,5.36
A20920_4140,52.3,10.35,5.1,36.5,21.0,42.5,30.3,75.5,6.15
A20907_4456,52.2675,11.14,4.7,33.4,19.8,46.9,31.7,72.7,6.76
A21046_4050,52.615,10.125,5.1,71.5,11.6,16.9,27.5,87.6,5.68
A20979_4251,52.4475,10.6275,5.4,53.9,19.8,26.2,30.0,84.3,6.07
A21014_4185,52.535,10.4625,5.2,60.6,16.9,22.5,24.8,62.7,5.92
A20932_4084,52.33,10.21,5.6,59.1,14.9,26.0,28.3,60.6,5.94
A20924_4225,52.31,10.5625,5.3,42.4,26.0,31.6,31.0,76.0,6.99
A20894_4422,52.235,11.055,4.9,33.2,23.0,43.8,31.6,74.2,7.57
A20975_4366,52.4375,10.915,6.1,57.5,17.0,25.5,30.6,79.7,8.72
A20947_4125,52.3675,10.3125,5.3,49.9,17.8,32.2,26.8,86.5,6.09
A20978_4259,52.445,10.6475,5.0,57.1,14.7,28.2,31.5,74.5,6.62
A20850_4056,52.125,10.14,5.1,21.4,28.4,50.2,30.0,75.5,5.64
A21041_4385,52.6025,10.9625,5.5,64.7,12.4,23.0,30.4,82.3,8.83
A21025_4083,52.5625,10.2075,5.1,65.0,15.6,19.4,27.0,87.5,6.06
A20877_4297,52.1925,10.7425,5.4,21.4,30.8,47.8,27.4,106.1,6.46
A20949_4286,52.3725,10.715,4.9,48.4,19.3,32.3,28.9,82.8,6.29
A20888_4309,52.22,10.7725,5.3,20.1,33.1,46.8,28.6,91.2,6.63
A20983_4209,52.4575,10.5225,4.9,65.9,12.9,21.2,27.2,76.5,5.6
A20969_4205,52.4225,10.5125,5.3,57.3,16.5,26.3,28.7,77.6,6.01
A20920_4145,52.3,10.3625,5.1,36.8,21.5,41.7,29.5,77.1,5.85
A21043_4048,52.6075,10.12,5.6,67.5,16.1,16.4,25.5,74.9,5.84
A20905_4184,52.2625,10.46,6.3,43.0,22.2,34.7,31.5,49.5,6.93
A21104_4104,52.76,10.26,4.8,63.3,12.5,24.2,25.4,82.5,5.24
A20920_4141,52.3,10.3525,5.1,36.5,21.0,42.5,30.3,75.5,6.15
A21095_4129,52.7375,10.3225,4.8,59.3,10.7,30.0,26.1,88.1,5.24
A20908_4234,52.27,10.585,5.2,37.7,28.7,33.6,31.0,73.9,7.66
A20952_4327,52.38,10.8175,5.0,47.2,16.0,36.8,30.1,74.3,6.66
A21104_4137,52.76,10.3425,4.8,58.4,13.6,28.0,28.1,84.8,4.91
A20969_4204,52.4225,10.51,5.2,57.5,16.6,26.0,28.8,85.2,6.51
A21013_4297,52.5325,10.7425,4.7,63.3,13.7,22.9,25.9,82.1,6.45
A21025_4062,52.5625,10.155,5.4,60.4,13.7,26.0,30.1,88.2,6.37
A20877_4320,52.1925,10.8,5.2,20.9,31.8,47.3,27.9,79.6,5.92
A20873_4220,52.1825,10.55,5.2,34.3,25.4,40.3,30.5,67.5,8.18
A20984_4292,52.46,10.73,6.0,61.2,14.2,24.6,27.6,53.6,7.5
A21054_4231,52.635,10.5775,5.3,72.1,11.0,16.9,26.6,72.8,7.48
A21035_4338,52.5875,10.845,4.7,59.9,12.3,27.7,28.3,83.4,5.88
A21037_4336,52.5925,10.84,4.8,59.1,13.3,27.5,27.0,87.5,5.45
A20894_4430,52.235,11.075,4.9,30.9,20.1,49.0,31.6,71.2,6.9
A20936_4284,52.34,10.71,4.9,55.2,15.9,28.9,29.4,73.2,7.45
A21035_4337,52.5875,10.8425,4.7,59.7,12.5,27.9,27.8,85.7,6.12
A20934_4285,52.335,10.7125,5.0,57.1,17.0,26.0,29.8,69.1,6.63
A21048_4041,52.62,10.1025,5.8,68.9,15.3,15.9,26.4,67.7,5.74
A20885_4206,52.2125,10.515,6.1,35.7,25.6,38.6,31.4,55.3,8.84
A20897_4428,52.2425,11.07,4.9,30.3,21.7,48.0,31.9,80.5,7.2
A20936_4289,52.34,10.7225,5.0,52.3,18.3,29.4,28.2,69.8,7.0
A21034_4346,52.585,10.865,5.9,62.9,12.0,25.1,28.7,67.4,6.79
