id,titel,wald,ort,abstand_km
W1196,Wald bei Söhlde,,Söhlde,0.4
W1197,Wald bei Barbecke,,Barbecke,1.6
W0117,Wald bei Lengede,,Lengede,1.3
W0118,Wald bei Broistedt,,Broistedt,1.0
W1198,Wald bei Broistedt,,Broistedt,1.3
W1199,Wald bei Bleckenstedt,,Bleckenstedt,2.0
W1200,Wald bei Sauingen,,Sauingen,0.5
W1201,Wald bei Beddingen,,Beddingen,1.1
W1202,Wald bei Thiede,,Thiede,1.0
W1203,Wald bei Thiede,,Thiede,1.0
W0119,Wald bei Schwedenschanze,,Schwedenschanze,1.8
W1204,Wald bei Kurzes Holz,,Kurzes Holz,1.1
W1205,Wald bei Schlickerberg,,Schlickerberg,0.4
W0120,Wald bei Apelnstedt,,Apelnstedt,0.8
W1206,Wald bei Volzum,,Volzum,1.4
W0121,Wald bei Hachum,,Hachum,0.9
W0122,Wald bei Obstbauernsiedlung,,Obstbauernsiedlung,0.3
W0123,Wald bei Weidehof,,Weidehof,1.5
W0124,Wald bei Groß Rode,,Groß Rode,0.2
W0125,Wald bei Tetzelstein,,Tetzelstein,1.3
W0126,Wald bei Brunsleberfeld,,Brunsleberfeld,1.4
W0127,Wald bei Räbke,,Räbke,0.8
W1589,Wald bei Räbke,,Räbke,1.3
W0128,Wald bei Wolsdorf,,Wolsdorf,0.9
W0129,Wald bei Wolsdorf,,Wolsdorf,1.1
W1590,Wald bei Kißleberfeld,,Kißleberfeld,2.0
W1207,Wald bei Büddenstedt,,Büddenstedt,1.9
W0130,Wald bei Harbke,,Harbke,0.7
W0131,Wald bei Harbke,,Harbke,1.9
W0132,Wald bei Marienborn,,Marienborn,1.1
W1208,Wald bei Sommerschenburg,,Sommerschenburg,1.6
W1209,Wald bei Zechenhaus,,Zechenhaus,1.6
W1210,Wald bei Garmissen,,Garmissen,0.4
W1211,Wald bei Feldbergen,,Feldbergen,0.3
W1212,Wald bei Hoheneggelsen,,Hoheneggelsen,1.0
W1591,Wald bei Hoheneggelsen,,Hoheneggelsen,1.6
W1213,Wald bei Söhlde,,Söhlde,1.6
W1214,Wald bei Woltwiesche,,Woltwiesche,1.1
W1215,Wald bei Woltwiesche,,Woltwiesche,1.0
W1216,Wald bei Lengede,,Lengede,0.8
W1217,Wald bei Vallstedt,,Vallstedt,1.7
W1218,Wald bei Alvesse,,Alvesse,1.4
W1219,Wald bei Üfingen,,Üfingen,0.3
W1220,Wald bei Übergabebahnhof Beddingen,,Übergabebahnhof Beddingen,1.4
W1221,Wald bei Geitelde,,Geitelde,0.8
W1222,Wald bei Thiedebach,,Thiedebach,0.4
W1223,Wald bei Stöckheim,,Stöckheim,1.2
W1224,Wald bei Salzdahlum,,Salzdahlum,1.9
W1225,Wald bei Salzdahlum,,Salzdahlum,0.7
W1226,Wald bei Mühle,,Mühle,0.4
W1227,Wald bei Neuhof,,Neuhof,0.8
W1228,Wald bei Kupfermühle,,Kupfermühle,0.6
W1229,Wald bei Erkerode,,Erkerode,0.2
W1592,Wald bei Weidehof,,Weidehof,1.4
W1230,Wald bei Weidehof,,Weidehof,0.8
W1593,Wald bei Tetzelstein,,Tetzelstein,0.8
W1594,Wald bei Langeleben,,Langeleben,1.1
W1595,Wald bei Lelm,,Lelm,1.9
W1231,Wald bei Räbke,,Räbke,0.8
W1232,Wald bei Frellstedt,,Frellstedt,0.2
W1233,Wald bei Am Tekenberge,,Am Tekenberge,0.2
W1234,Wald bei Alte Försterei,,Alte Försterei,1.9
W1235,Wald bei Helmstedt,,Helmstedt,2.8
W1236,Wald bei Harbke,,Harbke,2.1
W1237,Wald bei Harbke Autobahn,,Harbke Autobahn,1.5
W1238,Wald bei Marienborn,,Marienborn,1.8
W1239,Wald bei Marienborn,,Marienborn,0.4
W1240,Wald bei Alleringersleben,,Alleringersleben,1.4
W1596,Wald bei Oedelum,,Oedelum,1.0
W1241,Wald bei Mölme,,Mölme,1.2
W1597,Wald bei Mölme,,Mölme,1.0
W1242,Wald bei Steinbrück,,Steinbrück,1.1
W1243,Wald bei Groß Lafferde,,Groß Lafferde,0.9
W1244,Wald bei Groß Lafferde,,Groß Lafferde,1.4
W1245,Wald bei Klein Lafferde,,Klein Lafferde,0.3
W0133,Wald bei Bodenstedt,,Bodenstedt,1.8
W1246,Wald bei Vallstedt,,Vallstedt,1.0
W1247,Wald bei Alvesse,,Alvesse,0.7
W1248,Wald bei Groß Gleidingen,,Groß Gleidingen,1.7
W1249,Wald bei Übergabebahnhof Beddingen,,Übergabebahnhof Beddingen,0.9
W1250,Wald bei Stiddien,,Stiddien,1.1
W1251,Wald bei Rüningen,,Rüningen,0.2
W0134,Wald bei Stöckheim,,Stöckheim,1.3
W0135,Wald bei Mascherode,,Mascherode,1.4
W0136,Wald bei Zuckerfabrik / ehem. Bahnhof Salzdahlum,,Zuckerfabrik / ehem. Bahnhof Salzdahlum,1.3
W1252,Wald bei Hötzum,,Hötzum,0.2
W1253,Wald bei Sickte,,Sickte,0.8
W1254,Wald bei Klein Veltheim,,Klein Veltheim,0.5
W0137,Wald bei Erkerode,,Erkerode,1.2
W0138,Wald bei Weidehof,,Weidehof,0.6
W0139,Wald bei Weidehof,,Weidehof,1.7
W0140,Wald bei Langeleben,,Langeleben,0.4
W0141,Wald bei Lelm,,Lelm,1.5
W1598,Wald bei Lelm,,Lelm,0.2
W0142,Wald bei Frellstedt,,Frellstedt,1.5
W0143,Wald bei Rote Mühle,,Rote Mühle,0.2
W0144,Wald bei Alte Försterei,,Alte Försterei,1.2
W0145,Wald bei Helmstedt,,Helmstedt,2.4
W0146,Wald bei Helmstedt,,Helmstedt,1.8
W0147,Wald bei Harbke Autobahn,,Harbke Autobahn,1.8
W0148,Wald bei Harbke Autobahn,,Harbke Autobahn,0.4
W0149,Wald bei Morsleben,,Morsleben,0.8
W0150,Wald bei Chausseehaus,,Chausseehaus,0.3
W1255,Wald bei Alleringersleben,,Alleringersleben,0.9
W1256,Wald bei Bierbergen,,Bierbergen,0.5
W1257,Wald bei Oedelum,,Oedelum,1.8
W1258,Wald bei Adenstedt,,Adenstedt,1.1
W1259,Wald bei Gadenstedt,,Gadenstedt,1.2
W1260,Wald bei Gadenstedt,,Gadenstedt,1.1
W1261,Wald bei Groß Lafferde,,Groß Lafferde,1.9
W1262,Wald bei Klein Lafferde,,Klein Lafferde,1.8
W1263,Wald bei Liedingen,,Liedingen,1.2
W1264,Wald bei Liedingen,,Liedingen,1.1
W1265,Wald bei Wierthe,,Wierthe,0.7
W1266,Wald bei Sonnenberg,,Sonnenberg,0.3
W1267,Wald bei Timmerlah,,Timmerlah,0.9
W1268,Wald bei Broitzem,,Broitzem,1.1
W1269,Wald bei Gartenstadt,,Gartenstadt,0.7
W0151,Wald bei Heidberg,,Heidberg,0.3
W0152,Wald bei Mascherode,,Mascherode,0.6
W0153,Wald bei Hötzum,,Hötzum,1.3
W0154,Wald bei Wilhelmshöhe,,Wilhelmshöhe,0.1
W0155,Wald bei Klein Veltheim,,Klein Veltheim,1.2
W1270,Wald bei Schulenrode,,Schulenrode,0.2
W0156,Wald bei Hemkenrode,,Hemkenrode,1.0
W0157,Wald bei Weidehof,,Weidehof,2.5
W0158,Wald bei Weidehof,,Weidehof,3.0
W0159,Wald bei Sunstedt,,Sunstedt,2.0
W0160,Wald bei Sunstedt,,Sunstedt,0.9
W1271,Wald bei Hagenhof,,Hagenhof,0.2
W1272,Wald bei Hagenhof,,Hagenhof,1.8
W1273,Wald bei Süpplingenburg,,Süpplingenburg,1.2
W1274,Wald bei Emmerstedt,,Emmerstedt,1.7
W1275,Wald bei Emmerstedt,,Emmerstedt,0.7
W0161,Wald bei Helmstedt,,Helmstedt,0.5
W0162,Wald bei Bad Helmstedt,,Bad Helmstedt,1.4
W0163,Wald bei Bad Helmstedt,,Bad Helmstedt,1.0
W0164,Wald bei Morsleben,,Morsleben,1.3
W1276,Wald bei Groß Bartensleben,,Groß Bartensleben,0.9
W1277,Wald bei Klein Bartensleben,,Klein Bartensleben,1.0
W1278,Wald bei Stedum,,Stedum,1.4
W0165,Wald bei Adenstedt,,Adenstedt,0.6
W0181,Wald bei Groß Bülten,,Groß Bülten,0.5
W1279,Wald bei Ölsburg,,Ölsburg,0.8
W0182,Wald bei Oberg,,Oberg,1.1
W0183,Wald bei Münstedt,,Münstedt,1.0
W0184,Wald bei Bettmar,,Bettmar,1.6
W1280,Wald bei Bettmar,,Bettmar,0.3
W1281,Wald bei Vechelde,,Vechelde,1.3
W1282,Wald bei Vechelde,,Vechelde,0.9
W1283,Wald bei Denstorf,,Denstorf,0.4
W0166,Wald bei Timmerlah,,Timmerlah,1.0
W1285,Wald bei Weststadt,,Weststadt,1.3
W0167,Wald bei Westliches Ringgebiet,,Westliches Ringgebiet,1.5
W1287,Wald bei Braunschweig,,Braunschweig,0.9
W1288,Wald bei Lindenberg,,Lindenberg,1.4
W0185,Wald bei Grüner Jäger,,Grüner Jäger,1.1
W0186,Wald bei Weddel,,Weddel,0.8
W0187,Wald bei Schandelah,,Schandelah,1.8
W0170,Wald bei Schulenrode,,Schulenrode,1.4
W0188,Wald bei Mühlenberg,,Mühlenberg,0.6
W0171,Wald bei Bornum,,Bornum,1.2
W0172,Wald bei Lauingen,,Lauingen,2.1
W0173,Wald bei Königslutter am Elm,,Königslutter am Elm,0.6
W1293,Wald bei Königslutter am Elm,,Königslutter am Elm,0.9
W0189,Wald bei Groß Steinum,,Groß Steinum,0.2
W0190,Wald bei Groß Steinum,,Groß Steinum,1.9
W1294,Wald bei Süpplingenburg,,Süpplingenburg,0.8
W0191,Wald bei Barmke,,Barmke,0.9
W0192,Wald bei Mariental,,Mariental,1.3
W0193,Wald bei Mariental,,Mariental,2.4
W0194,Wald bei Walbeck,,Walbeck,2.1
W0195,Wald bei Schwanefeld,,Schwanefeld,1.2
W0196,Wald bei Schwanefeld,,Schwanefeld,0.8
W0197,Wald bei Eschenrode,,Eschenrode,2.4
W1606,Wald bei Klein Bartensleben,,Klein Bartensleben,2.1
W0198,Wald bei Equord,,Equord,1.4
W1295,Wald bei Klein Solschen,,Klein Solschen,0.7
W0199,Wald bei Bülten,,Bülten,0.9
W1296,Wald bei Bülten,,Bülten,0.6
W0200,Wald bei Klein Ilsede,,Klein Ilsede,1.1
W1297,Wald bei Schmedenstedt,,Schmedenstedt,1.9
W1298,Wald bei Schmedenstedt,,Schmedenstedt,0.2
W0201,Wald bei Sierße,,Sierße,1.3
W0202,Wald bei Wahle,,Wahle,1.4
W0203,Wald bei Bortfeld,,Bortfeld,1.1
W1299,Wald bei Wedtlenstedt,,Wedtlenstedt,0.4
W0204,Wald bei Kanzlerfeld,,Kanzlerfeld,0.3
W1300,Wald bei Lehndorf,,Lehndorf,1.2
W0205,Wald bei Schwarzer Berg,,Schwarzer Berg,0.9
W0206,Wald bei Nordstadt,,Nordstadt,0.7
W0207,Wald bei Gliesmarode,,Gliesmarode,0.3
W0208,Wald bei Schapen,,Schapen,0.5
W0209,Wald bei Weddel,,Weddel,1.4
W1301,Wald bei Weddel,,Weddel,1.6
W1302,Wald bei Schandelah,,Schandelah,0.9
W0210,Wald bei Wohld,,Wohld,1.4
W1303,Wald bei Mühlenberg,,Mühlenberg,1.4
W1304,Wald bei Lauingen,,Lauingen,1.7
W0211,Wald bei Puritzmühle,,Puritzmühle,0.9
W0212,Wald bei Beienrode,,Beienrode,0.9
W0213,Wald bei Uhry,,Uhry,1.8
W0214,Wald bei Rennau,,Rennau,1.7
W1305,Wald bei Barmke,,Barmke,2.3
W1306,Wald bei Barmke,,Barmke,0.5
W1307,Wald bei Mariental,,Mariental,1.0
W0215,Wald bei Mariental-Horst,,Mariental-Horst,1.4
W0216,Wald bei Walbeck,,Walbeck,1.4
W0217,Wald bei Walbeck,,Walbeck,0.8
W0218,Wald bei Eschenrode,,Eschenrode,0.7
W0219,Wald bei Eschenrode,,Eschenrode,1.3
W1308,Wald bei Eschenrode,,Eschenrode,2.6
W1309,Wald bei Equord,,Equord,0.2
W1310,Wald bei Hofschwicheldt,,Hofschwicheldt,0.4
W1311,Wald bei Rosenthal,,Rosenthal,1.0
W1312,Wald bei Handorf,,Handorf,0.6
W1313,Wald bei Klein Ilsede,,Klein Ilsede,0.8
W1314,Wald bei Dungelbeck,,Dungelbeck,0.8
W1315,Wald bei Dungelbeck,,Dungelbeck,1.4
W1316,Wald bei Fürstenau,,Fürstenau,1.2
W1317,Wald bei Fürstenau,,Fürstenau,1.6
