id,lat,lon,haupt,haupt_anteil,waldanteil,pixel,verteilung
W0083,52.1581,10.3658,5,0.731,0.122,24400,5:0.731;17:0.191;3:0.031;10:0.029
W0084,52.1581,10.3954,5,0.43,0.145,40000,5:0.43;17:0.351;10:0.1;3:0.058;2:0.044
W0085,52.1581,10.4249,17,0.534,0.002,40000,17:0.534;6:0.233;2:0.137;3:0.055
W0086,52.1581,10.484,5,0.607,0.051,40000,5:0.607;3:0.298;10:0.039;2:0.026
W0087,52.1581,10.5135,3,0.476,0.073,40000,3:0.476;5:0.408;8:0.037;4:0.036;10:0.026
W0088,52.1581,10.5431,17,0.567,0.015,40000,17:0.567;10:0.19;5:0.175;2:0.035
W0089,52.1581,10.6317,5,0.44,0.162,29000,5:0.44;3:0.233;9:0.172;17:0.058;10:0.028;4:0.023
W0090,52.1581,10.8384,3,0.391,0.699,39800,3:0.391;5:0.358;8:0.129;10:0.064;4:0.026
W0091,52.1581,10.868,3,0.55,0.956,40000,3:0.55;5:0.241;8:0.107;10:0.063
W0092,52.1581,10.8975,5,0.395,0.984,33400,5:0.395;3:0.369;8:0.111;10:0.071
W0093,52.1581,10.9271,5,0.489,0.977,40000,5:0.489;3:0.255;10:0.104;8:0.089;4:0.039
W0094,52.1581,10.9566,5,0.653,0.239,40000,5:0.653;3:0.173;8:0.062;4:0.038;10:0.035
W0095,52.1581,10.9861,5,0.428,0.197,40000,5:0.428;17:0.233;9:0.099;3:0.069;10:0.058;2:0.041
W0096,52.1581,11.0157,5,0.43,0.178,40000,5:0.43;17:0.286;9:0.073;4:0.06;10:0.059;3:0.031
W0097,52.1581,11.0452,5,0.436,0.17,40000,5:0.436;17:0.29;2:0.075;9:0.073;4:0.052;10:0.041
W0098,52.1581,11.1043,5,0.482,0.22,39800,5:0.482;17:0.261;10:0.104;3:0.071;2:0.058
W0099,52.1761,10.2182,5,0.667,0.292,40000,5:0.667;3:0.298
W0100,52.1761,10.3658,kein_wald,0.0,0.0,24400,
W0101,52.1761,10.4249,17,0.5,0.005,40000,17:0.5;5:0.275;3:0.093;10:0.077;16:0.033;2:0.022
W0102,52.1761,10.4545,5,0.593,0.42,40000,5:0.593;3:0.318;17:0.046
W0103,52.1761,10.484,kein_wald,0.0,0.0,40000,
W0104,52.1761,10.5431,3,0.669,0.264,40000,3:0.669;5:0.317
W0105,52.1761,10.7794,3,0.575,0.532,39800,3:0.575;8:0.185;10:0.131;5:0.082
W0106,52.1761,10.8089,3,0.379,0.947,40000,3:0.379;5:0.231;8:0.206;10:0.115;4:0.031;9:0.025
W0107,52.1761,10.8384,3,0.4,0.974,39800,3:0.4;5:0.333;8:0.118;10:0.08;4:0.037
W0108,52.1761,10.868,5,0.411,0.738,40000,5:0.411;3:0.41;10:0.085;8:0.048;4:0.029
W0109,52.1761,10.8975,3,0.415,0.661,33400,3:0.415;5:0.395;10:0.079;8:0.056;9:0.035
W0110,52.1761,10.9271,3,0.564,0.289,40000,3:0.564;5:0.303;4:0.054;10:0.028
W0111,52.1761,10.9566,5,0.459,0.081,40000,5:0.459;3:0.421;10:0.045;9:0.035
W0112,52.1761,10.9861,5,0.384,0.264,40000,5:0.384;3:0.198;17:0.194;10:0.078;9:0.053;4:0.038
W0113,52.1761,11.0157,17,0.395,0.243,40000,17:0.395;5:0.238;9:0.147;2:0.073;10:0.058;16:0.038
W0114,52.1761,11.0452,5,0.412,0.121,40000,5:0.412;17:0.276;9:0.127;2:0.075;10:0.046;4:0.033
W0115,52.1761,11.1043,5,0.502,0.31,39800,5:0.502;3:0.281;10:0.127;9:0.025;2:0.024;17:0.023
