art,gbif_id,datum,lat,lon,unsicherheit_m,ort
steinpilz,5019766029,2024-10-06,52.93105,9.47159,250.0,"Lehrdetal mit Wald zwischen Wassermühle Stellichte, Gross He"
steinpilz,5019868974,2024-10-04,53.40372,11.40753,250.0,Waldgebiet östl. Jasnitz
steinpilz,5020805863,2024-10-17,52.4977,9.34668,250.0,Steinhuder Meer Nordufer bei der Alten Moorhütte
steinpilz,5023880044,2024-10-23,52.36751,11.27803,250.0,Calvörder Berge (nordost)
steinpilz,5027011334,2024-10-26,52.44976,9.14762,250.0,Klosterwald Loccum
steinpilz,5158250224,2024-10-10,52.99074,11.3382,5.0,VSG Nemitzer Heide
steinpilz,5167858787,2024-10-05,51.71737,11.23507,26164.0,
steinpilz,5168023591,2024-10-04,51.71484,11.21684,26164.0,
steinpilz,5168234810,2024-10-20,52.10222,9.44903,258.0,
steinpilz,5176415464,2024-10-03,52.33212,9.87129,35.0,
steinpilz,5176545446,2024-10-29,53.1999,10.6132,31.0,
steinpilz,5176649469,2024-10-15,53.06608,9.22241,,
steinpilz,5177173388,2024-10-11,53.31146,11.53498,31.0,
steinpilz,5896998664,2024-10-22,53.1735,10.37372,250.0,TK25 Blatt 2828/1 - Embsen / Melbeck
steinpilz,5896998711,2024-10-23,53.15382,10.42026,250.0,"Melbeck, Wald zwischen B4 und L233 bzw. Forellenbachtal"
steinpilz,5896999010,2024-10-18,53.14728,10.45102,250.0,Naturschutzgebiet Forellenbachtal
steinpilz,5897003987,2024-10-21,53.16615,10.43974,250.0,"Melbeck, Wald südöstlich des Campingplatzes"
steinpilz,5897010724,2024-10-11,53.19414,10.41096,250.0,"Melbeck, östlich B 4"
steinpilz,5901268552,2024-10-10,53.03186,10.93606,,Drawehn - N2000
steinpilz,5901276792,2024-10-10,53.03201,10.93547,,Drawehn - N2000
steinpilz,5901722447,2024-10-10,53.0314,10.93628,,Drawehn - N2000
steinpilz,5902984741,2024-10-10,53.03212,10.93494,,Drawehn - N2000
steinpilz,6399403500,2024-10-03,53.20441,9.15025,3.0,
steinpilz,4982010113,2024-11-17,53.21899,10.27141,2.0,
steinpilz,4985685252,2024-11-10,53.16694,9.90739,4.0,LG VSG Lüneburger Heide
steinpilz,5016303602,2024-11-16,53.42038,11.35265,250.0,Waldgebiet bei Kraak
