id,lat,lon,ph,cec,sand,clay,silt,humus,stickstoff
F51.742_10.891,51.742,10.891,5.63,21.8,22.57,29.97,47.47,58.33,3.87
F51.777_9.546,51.777,9.546,4.53,25.73,17.83,29.67,52.5,88.67,4.47
F52.119_10.002,52.119,10.002,5.93,21.33,21.3,27.33,51.37,36.93,2.79
F51.545_9.53,51.545,9.53,5.57,18.8,19.53,23.6,56.87,45.37,3.97
F51.753_11.082,51.753,11.082,6.53,24.73,17.13,28.93,53.9,39.03,4.17
F52.591_11.297,52.591,11.297,5.03,22.83,58.1,14.57,27.37,43.97,4.12
F53.017_11.565,53.017,11.565,5.4,22.17,74.0,9.8,16.17,52.57,4.1
F52.688_9.947,52.688,9.947,5.1,18.43,64.8,14.67,20.5,69.0,3.23
F51.72_10.973,51.72,10.973,5.2,22.93,19.6,25.07,55.33,44.53,3.98
F51.534_11.308,51.534,11.308,5.6,24.77,14.6,22.13,63.23,40.0,3.82
F53.14_10.22,53.14,10.22,5.67,18.17,72.43,8.9,18.73,43.4,4.16
F51.881_10.477,51.881,10.477,5.47,20.87,24.73,32.87,42.4,70.2,3.59
F53.2_11.335,53.2,11.335,5.17,20.97,72.77,8.77,18.47,50.57,4.44
F51.564_10.156,51.564,10.156,6.43,21.07,47.23,19.93,32.8,32.53,3.13
F53.32_11.52,53.32,11.52,5.33,21.67,76.43,8.07,15.53,64.1,4.43
F52.597_10.091,52.597,10.091,5.8,19.37,70.53,14.3,15.17,43.63,3.16
F53.202_9.529,53.202,9.529,5.3,22.13,71.97,7.5,20.53,69.3,4.85
F52.99_9.81,52.99,9.81,5.23,17.73,63.6,13.03,23.4,57.93,3.29
F52.332_9.725,52.332,9.725,5.2,19.93,42.03,22.07,35.9,41.83,3.46
F52.197_10.751,52.197,10.751,5.43,18.4,21.73,32.0,46.27,55.57,3.46
F53.136_9.781,53.136,9.781,5.27,20.57,51.4,12.2,36.37,61.9,3.37
F53.139_9.787,53.139,9.787,5.33,19.07,52.03,11.83,36.17,59.87,3.41
F51.569_10.84,51.569,10.84,5.33,22.73,19.37,29.53,51.13,43.0,3.26
F51.507_10.142,51.507,10.142,5.13,19.93,39.43,19.87,40.67,45.8,3.26
F51.871_10.472,51.871,10.472,4.9,22.57,26.03,31.67,42.3,75.97,3.94
F53.178_10.026,53.178,10.026,5.33,20.67,70.43,10.43,19.13,74.17,4.43
F52.706_9.787,52.706,9.787,5.8,18.3,69.93,12.03,18.03,40.87,3.61
F52.732_10.019,52.732,10.019,4.77,17.47,58.87,19.2,21.97,43.77,2.76
F52.935_9.231,52.935,9.231,5.3,21.77,56.27,13.9,29.87,56.17,3.59
F51.509_11.921,51.509,11.921,5.63,23.37,21.1,27.67,51.27,46.17,4.33
F53.148_9.083,53.148,9.083,5.3,19.53,70.5,9.77,19.83,68.0,4.27
F52.911_11.871,52.911,11.871,5.97,21.67,70.57,12.6,16.83,53.13,3.72
F52.033_10.309,52.033,10.309,6.27,20.27,23.17,31.3,45.57,32.7,3.0
