art,gbif_id,datum,lat,lon,monat,hoehe,regen_reife,regen_frisch,regentage,tage_seit_regen,regen_60,bilanz_14,bilanz_60,temp,bt07,bf07,bt728,bf728,frosttage,min_temp,min_boden,tage_vorhanden,tage_lang,tage_et0
schwefelporling,6186674658,2026-03-29,52.29894,10.35595,3,85.0,11.5,6.4,4,1,105.4,-7.7,35.3,6.2,6.0,0.183,5.8,0.208,,,,15,,
schwefelporling,6182720963,2026-03-26,53.26003,10.43096,3,27.0,18.8,3.3,4,10,99.0,-2.7,38.2,6.6,6.0,0.16,5.9,0.198,,,,15,,
schwefelporling,6227813381,2026-04-20,52.30713,9.32216,4,81.0,11.5,15.4,6,0,111.6,-9.4,2.5,9.2,10.6,0.269,10.1,0.263,,,,15,,
schwefelporling,6193175809,2026-04-06,52.44785,10.45533,4,57.0,13.7,3.1,5,7,103.6,-12.3,21.1,6.8,8.0,0.257,7.2,0.277,,,,15,,
schwefelporling,6227955383,2026-04-24,52.42731,9.42414,4,54.0,20.6,0.1,5,4,103.1,-15.3,-13.2,9.8,9.2,0.324,9.2,0.316,,,,15,,
schwefelporling,6235369009,2026-04-26,51.67661,10.04824,4,174.0,40.6,0.0,3,7,89.8,0.5,-37.0,9.7,9.3,0.2,8.6,0.184,,,,15,,
schwefelporling,6273470316,2026-04-26,51.51483,9.92206,4,147.0,28.4,0.0,3,6,75.8,-11.9,-51.5,10.0,9.8,0.201,9.1,0.195,,,,15,,
schwefelporling,6341983053,2026-04-28,52.36505,9.73679,4,53.0,10.6,0.0,2,8,62.7,-33.0,-69.0,10.3,12.1,0.095,10.8,0.132,,,,15,,
schwefelporling,6343053398,2026-04-26,52.31183,9.68183,4,64.0,15.5,0.0,3,6,70.9,-23.5,-54.1,10.0,10.1,0.15,9.2,0.14,,,,15,,
schwefelporling,6343428187,2026-04-29,53.46858,10.04872,4,3.0,15.4,0.0,2,9,73.1,-26.4,-53.4,9.5,10.4,0.26,9.6,0.312,,,,15,,
schwefelporling,6344219324,2026-04-05,51.51672,9.91891,4,161.0,22.3,2.0,5,6,103.3,-2.8,25.4,5.7,7.0,0.178,5.6,0.165,,,,15,,
schwefelporling,6273210499,2026-05-02,51.67588,10.04779,5,174.0,37.7,0.0,2,13,88.7,-10.7,-52.8,9.9,11.7,0.125,10.6,0.17,,,,15,,
schwefelporling,6273227980,2026-05-05,52.26602,10.48657,5,74.0,0.0,6.7,2,0,76.7,-51.4,-76.1,12.2,17.6,0.066,14.8,0.147,,,,15,,
schwefelporling,6273448658,2026-05-09,53.1566,11.12173,5,9.0,8.1,15.1,3,3,104.1,-26.3,-40.3,11.4,12.0,0.353,11.8,0.312,,,,15,,
schwefelporling,6273503811,2026-05-08,52.38197,9.69119,5,49.0,3.7,49.5,4,1,115.9,1.6,-32.6,12.5,14.6,0.236,14.3,0.178,,,,15,,
schwefelporling,6273820483,2026-05-09,52.27125,10.56727,5,81.0,8.5,36.1,4,2,111.9,-4.9,-36.4,12.0,12.8,0.268,12.8,0.193,,,,15,,
schwefelporling,6274144707,2026-05-09,52.3342,9.74184,5,52.0,9.3,45.9,4,2,126.1,3.8,-21.0,12.6,12.8,0.271,12.7,0.21,,,,15,,
schwefelporling,6273848001,2026-05-10,51.57314,9.91004,5,141.0,49.2,6.3,4,3,138.2,5.9,-8.8,12.0,12.0,0.298,11.8,0.249,,,,15,,
schwefelporling,6334141557,2026-05-22,53.36105,10.42678,5,15.0,39.8,10.3,9,2,128.1,8.4,-32.6,10.9,13.6,0.145,12.3,0.115,,,,15,,
schwefelporling,6334597482,2026-05-20,52.39072,9.77681,5,76.0,83.3,24.7,10,0,160.4,72.5,3.2,10.2,11.9,0.284,11.4,0.286,,,,15,,
schwefelporling,6334162911,2026-05-22,52.51658,10.61954,5,57.0,45.3,13.0,7,2,139.9,16.8,-22.9,11.1,13.6,0.143,12.2,0.14,,,,15,,
schwefelporling,6341679337,2026-05-21,51.72499,10.25054,5,228.0,46.9,16.7,9,1,177.3,28.3,26.9,9.7,11.3,0.299,10.6,0.303,,,,15,,
schwefelporling,6341734053,2026-05-16,52.27017,10.57463,5,75.0,72.2,19.9,8,2,142.9,54.1,-10.3,11.3,8.8,0.327,9.0,0.28,,,,15,,
schwefelporling,6341747368,2026-05-18,52.42173,9.85695,5,57.0,90.8,8.3,10,0,141.4,64.3,-13.8,10.5,10.4,0.319,10.3,0.296,,,,15,,
schwefelporling,6341707614,2026-05-27,51.89619,10.39583,5,400.0,32.3,0.0,8,7,199.5,-23.2,32.1,13.4,17.8,0.189,15.6,0.259,,,,15,,
schwefelporling,6341779939,2026-05-24,53.2248,10.42238,5,27.0,48.1,0.2,9,4,124.1,2.7,-46.5,12.3,16.2,0.148,14.5,0.15,,,,15,,
schwefelporling,6344151019,2026-05-24,53.24604,10.41668,5,27.0,48.1,0.2,9,4,124.1,2.7,-46.5,12.3,16.2,0.148,14.5,0.15,,,,15,,
schwefelporling,6341813698,2026-05-29,51.54599,10.08724,5,202.0,19.1,4.7,4,0,174.1,-36.7,-2.8,14.7,17.5,0.174,16.0,0.236,,,,15,,
schwefelporling,6341866897,2026-05-23,53.04222,11.43256,5,16.0,38.3,9.1,6,3,106.1,1.2,-59.9,12.3,15.3,0.362,13.7,0.323,,,,15,,
schwefelporling,6341906890,2026-05-14,52.36556,9.72195,5,50.0,53.5,28.4,8,0,126.4,38.4,-26.0,12.3,10.5,0.318,10.8,0.279,,,,15,,
schwefelporling,6341999902,2026-05-08,52.12981,9.97232,5,104.0,5.1,40.1,4,1,108.3,-6.4,-45.2,12.1,14.1,0.217,13.7,0.168,,,,15,,
schwefelporling,6342015038,2026-05-11,53.33274,10.00215,5,18.0,24.9,6.4,3,0,101.6,-17.5,-44.4,11.7,10.3,0.161,10.4,0.104,,,,15,,
schwefelporling,6342023063,2026-05-12,52.25438,9.06072,5,101.0,40.3,12.9,6,0,138.4,6.9,-7.4,12.0,10.5,0.298,10.6,0.242,,,,15,,
schwefelporling,6342042928,2026-05-23,53.39283,10.45307,5,37.0,36.3,6.2,8,3,109.4,-0.1,-50.9,11.6,14.7,0.363,13.2,0.327,,,,15,,
schwefelporling,6342063361,2026-05-24,52.10991,11.66328,5,46.0,36.8,0.2,9,4,139.6,-14.3,-35.2,13.3,18.6,0.249,16.7,0.318,,,,15,,
