id,lat,lon
W0181,52.2662,10.1886
W1279,52.25721,10.20347
W0182,52.2662,10.2477
W0183,52.2662,10.2772
W0184,52.2662,10.3068
W1280,52.25721,10.32173
W1281,52.25721,10.3513
W1282,52.25721,10.38086
W1283,52.25721,10.41042
W0166,52.2482,10.4545
W1285,52.25721,10.46955
W0167,52.2482,10.5135
W1287,52.25721,10.52868
W1288,52.25721,10.55825
W0185,52.2662,10.6021
W0186,52.2662,10.6317
W0187,52.2662,10.6612
W0170,52.2482,10.6908
W0188,52.2662,10.7203
W0171,52.2482,10.7498
W0172,52.2482,10.7794
W0173,52.2482,10.8089
W1293,52.25721,10.82432
W0189,52.2662,10.868
W0190,52.2662,10.8975
W1294,52.25721,10.91302
W0191,52.2662,10.9566
W0192,52.2662,10.9861
W0193,52.2662,11.0157
W0194,52.2662,11.0452
W0195,52.2662,11.0747
W0196,52.2662,11.1043
W0197,52.2662,11.1338
W1606,52.25721,11.14953
W0198,52.2842,10.1
W1295,52.27523,10.14435
W0199,52.2842,10.1886
W1296,52.27523,10.20347
W0200,52.2842,10.2477
W1297,52.27523,10.2626
W1298,52.27523,10.29217
W0201,52.2842,10.3363
W0202,52.2842,10.3658
W0203,52.2842,10.3954
W1299,52.27523,10.41042
W0204,52.2842,10.4545
W1300,52.27523,10.46955
W0205,52.2842,10.5135
W0206,52.2842,10.5431
W0207,52.2842,10.5726
W0208,52.2842,10.6021
W0209,52.2842,10.6317
W1301,52.27523,10.64694
W1302,52.27523,10.6765
W0210,52.2842,10.7203
W1303,52.27523,10.73563
W1304,52.27523,10.76519
W0211,52.2842,10.8089
W0212,52.2842,10.8384
W0213,52.2842,10.868
W0214,52.2842,10.8975
W1305,52.27523,10.91302
W1306,52.27523,10.94258
W1307,52.27523,10.97214
W0215,52.2842,11.0157
W0216,52.2842,11.0452
W0217,52.2842,11.0747
W0218,52.2842,11.1043
W0219,52.2842,11.1338
W1308,52.27523,11.14953
W1309,52.29324,10.11478
W1310,52.29324,10.14435
W1311,52.29324,10.17391
W1312,52.29324,10.20347
W1313,52.29324,10.23304
W1314,52.29324,10.2626
W1315,52.29324,10.29217
W1316,52.29324,10.32173
W1317,52.29324,10.3513
W1318,52.29324,10.38086
W1319,52.29324,10.41042
W1320,52.29324,10.43999
W1321,52.29324,10.46955
W1322,52.29324,10.49912
W1323,52.29324,10.52868
W1324,52.29324,10.55825
W1325,52.29324,10.58781
W1326,52.29324,10.61737
W1327,52.29324,10.64694
W1328,52.29324,10.6765
W1329,52.29324,10.70607
W1330,52.29324,10.73563
W1331,52.29324,10.76519
W1332,52.29324,10.79476
W1333,52.29324,10.82432
W1334,52.29324,10.85389
W1335,52.29324,10.88345
W1336,52.29324,10.91302
W1337,52.29324,10.94258
W1338,52.29324,10.97214
W1339,52.29324,11.00171
W1340,52.29324,11.03127
W1341,52.29324,11.06084
W1342,52.29324,11.0904
W1343,52.29324,11.11997
W1344,52.29324,11.14953
W1345,52.31126,10.11478
W1346,52.31126,10.14435
W0220,52.3023,10.1886
W1347,52.31126,10.20347
W1348,52.31126,10.23304
W0221,52.3023,10.2772
W0222,52.3023,10.3068
W0223,52.3023,10.3363
W0224,52.3023,10.3658
W1349,52.31126,10.38086
W0225,52.3023,10.4249
W1350,52.31126,10.43999
W1351,52.31126,10.46955
W1352,52.31126,10.49912
W0226,52.3023,10.5431
W0227,52.3023,10.5726
W1353,52.31126,10.58781
W0228,52.3023,10.6317
W0229,52.3023,10.6612
W0230,52.3023,10.6908
W0231,52.3023,10.7203
W1354,52.31126,10.73563
W1355,52.31126,10.76519
W0232,52.3023,10.8089
W0233,52.3023,10.8384
W0234,52.3023,10.868
W0235,52.3023,10.8975
W0236,52.3023,10.9271
W1356,52.31126,10.94258
W0237,52.3023,10.9861
W0238,52.3023,11.0157
W0239,52.3023,11.0452
W0240,52.3023,11.0747
W0241,52.3023,11.1043
W0242,52.3023,11.1338
W1357,52.31126,11.14953
W1358,52.32928,10.11478
W1359,52.32928,10.14435
W1360,52.32928,10.17391
W0243,52.3203,10.2182
W1361,52.32928,10.23304
W1362,52.32928,10.2626
W0244,52.3203,10.3068
W0245,52.3203,10.3363
W1363,52.32928,10.3513
W1364,52.32928,10.38086
W1365,52.32928,10.41042
W1366,52.32928,10.43999
W1367,52.32928,10.46955
W1368,52.32928,10.49912
W1369,52.32928,10.52868
W0246,52.3203,10.5726
W0247,52.3203,10.6021
W0248,52.3203,10.6317
W0249,52.3203,10.6612
W0250,52.3203,10.6908
W0251,52.3203,10.7203
W0252,52.3203,10.7498
W1370,52.32928,10.76519
W1371,52.32928,10.79476
W0253,52.3203,10.8384
W0254,52.3203,10.868
W1372,52.32928,10.88345
W0255,52.3203,10.9271
W0256,52.3203,10.9566
W0257,52.3203,10.9861
W1373,52.32928,11.00171
W0258,52.3203,11.0452
W1374,52.32928,11.06084
W1375,52.32928,11.0904
W1376,52.32928,11.11997
W1377,52.32928,11.14953
W0260,52.3383,10.1295
W1378,52.3473,10.14435
W1379,52.3473,10.17391
W1380,52.3473,10.20347
W1381,52.3473,10.23304
W0281,52.3563,10.2772
W0282,52.3563,10.3068
W0261,52.3383,10.3363
W0262,52.3383,10.3658
W1382,52.3473,10.38086
W0285,52.3563,10.4249
W1383,52.3473,10.43999
W0263,52.3383,10.484
