id,lat,lon,hoehe
W0185,52.2662,10.6021,104.0
W0186,52.2662,10.6317,83.0
W0187,52.2662,10.6612,115.0
W0188,52.2662,10.7203,130.0
W0189,52.2662,10.868,96.0
W0190,52.2662,10.8975,139.0
W0191,52.2662,10.9566,108.0
W0192,52.2662,10.9861,168.0
W0193,52.2662,11.0157,161.0
W0194,52.2662,11.0452,157.0
W0195,52.2662,11.0747,116.0
W0196,52.2662,11.1043,119.0
W0197,52.2662,11.1338,180.0
W0198,52.2842,10.1,74.0
W0199,52.2842,10.1886,87.0
W0200,52.2842,10.2477,72.0
W0201,52.2842,10.3363,92.0
W0202,52.2842,10.3658,73.0
W0203,52.2842,10.3954,82.0
W0204,52.2842,10.4545,90.0
W0205,52.2842,10.5135,70.0
W0206,52.2842,10.5431,73.0
W0207,52.2842,10.5726,79.0
W0208,52.2842,10.6021,86.0
W0209,52.2842,10.6317,107.0
W0210,52.2842,10.7203,104.0
W0211,52.2842,10.8089,109.0
W0212,52.2842,10.8384,100.0
W0213,52.2842,10.868,181.0
W0214,52.2842,10.8975,120.0
W0215,52.2842,11.0157,190.0
W0216,52.2842,11.0452,120.0
W0217,52.2842,11.0747,132.0
W0218,52.2842,11.1043,124.0
W0219,52.2842,11.1338,119.0
W0220,52.3023,10.1886,75.0
W0221,52.3023,10.2772,74.0
W0222,52.3023,10.3068,79.0
W0223,52.3023,10.3363,92.0
W0224,52.3023,10.3658,69.0
W0225,52.3023,10.4249,81.0
W0226,52.3023,10.5431,78.0
W0227,52.3023,10.5726,80.0
W0228,52.3023,10.6317,81.0
W0229,52.3023,10.6612,88.0
W0230,52.3023,10.6908,117.0
W0231,52.3023,10.7203,100.0
W0232,52.3023,10.8089,94.0
W0233,52.3023,10.8384,97.0
W0234,52.3023,10.868,112.0
W0235,52.3023,10.8975,111.0
W0236,52.3023,10.9271,137.0
W0237,52.3023,10.9861,150.0
W0238,52.3023,11.0157,104.0
W0239,52.3023,11.0452,88.0
W0240,52.3023,11.0747,131.0
W0241,52.3023,11.1043,101.0
W0242,52.3023,11.1338,163.0
W0243,52.3203,10.2182,72.0
