id,lat,lon,ph,cec,sand,clay,silt,humus,stickstoff
W0143,52.2122,10.9271,5.43,21.97,38.17,19.5,42.33,39.13,4.01
W0144,52.2122,10.9566,5.77,22.67,31.2,20.7,48.13,46.93,4.6
W0145,52.2122,10.9861,5.8,25.1,39.37,21.53,39.1,42.17,4.53
W0147,52.2122,11.0452,5.2,23.83,30.83,21.93,47.23,46.4,3.85
W0148,52.2122,11.0747,5.07,22.97,30.63,21.77,47.57,39.53,3.49
W0149,52.2122,11.1043,6.17,23.5,35.57,17.93,46.5,35.1,3.69
W0150,52.2122,11.1338,6.4,23.9,40.03,22.7,37.3,37.97,4.17
W0152,52.2302,10.5726,5.47,24.43,30.4,25.2,44.5,49.37,4.08
W0153,52.2302,10.6021,6.7,24.03,34.8,25.53,39.63,36.07,4.27
W0154,52.2302,10.6317,5.9,24.4,40.4,25.47,34.1,40.27,3.76
W0155,52.2302,10.6612,5.3,22.97,40.03,21.03,38.9,40.67,3.67
W0156,52.2302,10.7203,5.83,21.33,33.13,27.6,39.27,31.53,3.38
W0157,52.2302,10.7498,5.27,19.33,24.93,31.33,43.73,50.6,3.28
W0158,52.2302,10.7794,5.13,19.4,24.33,30.63,45.07,58.27,3.04
W0159,52.2302,10.8089,5.07,20.63,27.13,30.47,42.4,49.33,3.31
W0160,52.2302,10.8384,6.73,20.83,21.47,23.87,54.67,30.03,2.78
W0162,52.2302,11.0452,5.03,22.63,28.17,25.03,46.8,44.13,3.53
W0163,52.2302,11.0747,5.07,22.13,29.7,21.47,48.83,41.7,3.41
W0164,52.2302,11.1043,6.5,23.83,39.53,22.9,37.53,33.13,3.95
W0166,52.2482,10.4545,5.37,22.8,38.27,22.67,39.07,41.93,3.49
W0168,52.2482,10.6317,6.37,22.17,38.83,26.67,34.5,35.47,3.54
W0169,52.2482,10.6612,6.5,22.9,37.8,24.17,38.03,37.5,3.48
W0170,52.2482,10.6908,6.8,23.33,35.9,24.23,39.87,27.8,3.79
W0171,52.2482,10.7498,6.2,21.97,32.17,27.83,40.0,36.23,3.55
W0172,52.2482,10.7794,5.27,23.17,31.17,28.97,39.87,44.83,3.76
W0174,52.2482,10.9566,6.73,22.97,48.7,20.63,30.63,37.63,4.1
W0176,52.2482,11.0157,5.0,21.37,27.0,19.53,53.47,45.27,2.84
W0177,52.2482,11.0452,5.03,22.97,27.93,21.33,50.7,52.73,3.22
W0178,52.2482,11.0747,4.93,23.53,35.3,19.83,44.87,49.3,3.97
W0179,52.2482,11.1043,5.7,24.73,43.03,18.83,38.13,43.17,4.54
W0180,52.2482,11.1338,6.33,22.23,44.73,18.1,37.2,35.57,3.84
W0182,52.2662,10.2477,6.9,18.67,25.07,25.8,49.17,26.67,2.63
W0183,52.2662,10.2772,5.33,20.43,25.97,24.07,49.97,35.03,2.93
W0184,52.2662,10.3068,6.83,21.23,28.5,24.13,47.37,27.63,2.86
W0185,52.2662,10.6021,5.13,23.27,39.53,23.7,36.77,43.3,3.52
W0186,52.2662,10.6317,5.8,21.8,36.2,23.43,40.37,39.73,4.23
W0187,52.2662,10.6612,5.47,23.23,35.9,23.77,40.33,43.77,3.82
W0188,52.2662,10.7203,5.8,24.83,35.57,25.1,39.33,45.63,4.58
W0189,52.2662,10.868,6.7,22.0,40.93,22.83,36.23,41.7,3.56
W0190,52.2662,10.8975,5.17,22.43,37.53,21.1,41.4,55.07,4.24
W0191,52.2662,10.9566,6.6,22.0,42.37,20.4,37.27,33.6,4.03
W0192,52.2662,10.9861,5.17,23.37,30.1,21.3,48.57,53.5,3.75
W0193,52.2662,11.0157,4.93,21.47,26.67,22.1,51.23,48.6,3.15
W0194,52.2662,11.0452,5.03,23.4,29.5,19.93,50.57,48.93,3.4
W0195,52.2662,11.0747,5.93,24.53,42.67,19.87,37.47,42.8,4.42
W0196,52.2662,11.1043,6.7,22.37,40.4,18.43,41.17,33.53,4.01
W0197,52.2662,11.1338,4.93,22.13,32.93,18.53,48.47,45.57,3.86
W0198,52.2842,10.1,6.87,20.83,29.5,21.6,48.9,36.67,3.31
W0199,52.2842,10.1886,5.2,19.47,25.43,25.6,48.97,44.17,3.52
W0200,52.2842,10.2477,6.77,20.57,37.9,25.17,36.93,33.6,2.96
