datum,ort,lat,lon,regen_icon,regen_era5,temperatur,bt07,bf07,bt728,bf728,et0,quelle
2026-08-01,W0082,52.1401,11.0452,11.1,,19.0,22.3,0.201,22.5,0.148,3.42,icon_d2
2026-08-01,W0083,52.1581,10.3658,0.2,,18.9,21.5,0.141,21.7,0.142,3.59,icon_d2
2026-08-01,W0084,52.1581,10.3954,0.4,,19.2,21.3,0.159,21.6,0.148,3.64,icon_d2
2026-08-01,W0085,52.1581,10.4249,0.4,,19.2,21.3,0.159,21.6,0.148,3.64,icon_d2
2026-08-01,W0086,52.1581,10.484,1.5,,18.9,20.9,0.172,21.0,0.141,3.58,icon_d2
2026-08-01,W0087,52.1581,10.5135,2.2,,19.4,20.9,0.172,21.0,0.141,3.72,icon_d2
2026-08-01,W0088,52.1581,10.5431,2.4,,19.3,21.2,0.162,21.2,0.147,3.73,icon_d2
2026-08-01,W0089,52.1581,10.6317,1.4,,19.0,20.2,0.208,19.9,0.143,3.5,icon_d2
2026-08-01,W0090,52.1581,10.8384,1.5,,18.3,20.5,0.145,20.7,0.148,3.39,icon_d2
2026-08-01,W0091,52.1581,10.868,3.0,,18.2,21.2,0.185,21.3,0.149,3.37,icon_d2
2026-08-01,W0092,52.1581,10.8975,5.5,,17.8,21.0,0.185,21.1,0.149,3.25,icon_d2
2026-08-01,W0093,52.1581,10.9271,5.9,,17.9,21.2,0.185,21.3,0.149,3.28,icon_d2
2026-08-01,W0094,52.1581,10.9566,7.3,,19.1,22.0,0.185,22.1,0.149,3.53,icon_d2
2026-08-01,W0095,52.1581,10.9861,7.3,,19.1,21.9,0.168,21.7,0.145,3.53,icon_d2
2026-08-01,W0096,52.1581,11.0157,7.1,,18.7,21.9,0.168,21.7,0.145,3.41,icon_d2
2026-08-01,W0097,52.1581,11.0452,7.1,,18.9,22.3,0.201,22.5,0.148,3.42,icon_d2
2026-08-01,W0098,52.1581,11.1043,10.0,,18.5,22.3,0.201,22.5,0.148,3.37,icon_d2
2026-08-01,W0099,52.1761,10.2182,0.4,,18.2,21.0,0.142,21.2,0.148,3.69,icon_d2
2026-08-01,W0100,52.1761,10.3658,0.0,,18.9,21.5,0.141,21.7,0.142,3.64,icon_d2
2026-08-01,W0101,52.1761,10.4249,0.4,,19.1,20.9,0.172,21.0,0.141,3.6,icon_d2
2026-08-01,W0102,52.1761,10.4545,0.8,,18.9,20.9,0.172,21.0,0.141,3.57,icon_d2
